Date,Departures
Jan-00,624748
Feb-00,606921
Mar-00,668087
Apr-00,636910
May-00,673930
Jun-00,662016
Jul-00,687246
Aug-00,694682
Sep-00,660064
Oct-00,694774
Nov-00,659471
Dec-00,648793
1-Jan,688708
1-Feb,624160
1-Mar,695011
1-Apr,663982
1-May,686153
1-Jun,667671
1-Jul,705450
1-Aug,720520
1-Sep,536418
1-Oct,599787
1-Nov,574244
1-Dec,592700
2-Jan,629586
2-Feb,588268
2-Mar,659876
2-Apr,644356
2-May,661035
2-Jun,666093
2-Jul,701794
2-Aug,710575
2-Sep,652628
2-Oct,878989
2-Nov,824889
2-Dec,842972
3-Jan,841563
3-Feb,743188
3-Mar,854247
3-Apr,824389
3-May,848718
3-Jun,860080
3-Jul,898192
3-Aug,900353
3-Sep,843901
3-Oct,883147
3-Nov,820600
3-Dec,858961
4-Jan,841604
4-Feb,813848
4-Mar,892391
4-Apr,875853
4-May,890946
4-Jun,899728
4-Jul,936526
4-Aug,950286
4-Sep,881825
4-Oct,921798
4-Nov,874499
4-Dec,897615
5-Jan,864546
5-Feb,817802
5-Mar,933956
5-Apr,901395
5-May,934579
5-Jun,932901
5-Jul,955068
5-Aug,962958
5-Sep,881737
5-Oct,894347
5-Nov,860455
5-Dec,867435
6-Jan,841480
6-Feb,770677
6-Mar,888988
6-Apr,852572
6-May,885403
6-Jun,885794
6-Jul,913795
6-Aug,937891
6-Sep,863631
6-Oct,889557
6-Nov,852804
6-Dec,869580
7-Jan,860580
7-Feb,780080
7-Mar,894018
7-Apr,866810
7-May,907782
7-Jun,898400
7-Jul,927505
7-Aug,943579
7-Sep,866019
7-Oct,903545
7-Nov,862451
7-Dec,862302
8-Jan,848886
8-Feb,801656
8-Mar,873450
8-Apr,856737
8-May,878583
8-Jun,874663
8-Jul,907209
8-Aug,885792
8-Sep,784726
8-Oct,816739
8-Nov,756532
8-Dec,773049
9-Jan,757028
9-Feb,704022
9-Mar,794991
9-Apr,777557
9-May,797993
9-Jun,812290
9-Jul,849729
9-Aug,836372
9-Sep,763207
9-Oct,779566
9-Nov,740305
9-Dec,757296
10-Jan,738923
10-Feb,666754
10-Mar,789059
10-Apr,771202
10-May,792181
10-Jun,805880
10-Jul,839525
10-Aug,838875
10-Sep,772772
10-Oct,789533
10-Nov,752510
10-Dec,758150
11-Jan,726390
11-Feb,670122
11-Mar,808277
11-Apr,768869
11-May,794217
11-Jun,814053
11-Jul,840043
11-Aug,828321
11-Sep,762331
11-Oct,774308
11-Nov,731513
11-Dec,754559
12-Jan,721914
12-Feb,693582
12-Mar,780066
12-Apr,753872
12-May,779076
12-Jun,789678
12-Jul,810613
12-Aug,813182
12-Sep,728537
12-Oct,747199
12-Nov,718498
12-Dec,719775
13-Jan,708122
13-Feb,651299
13-Mar,756921
13-Apr,739866
13-May,772655
13-Jun,771440
13-Jul,805512
13-Aug,805706
13-Sep,732014
13-Oct,760872
13-Nov,701541
13-Dec,712937
14-Jan,671376
14-Feb,621311
14-Mar,743844
14-Apr,725499
14-May,746886
14-Jun,756239
14-Jul,794875
14-Aug,783461
14-Sep,717479
14-Oct,748011
14-Nov,696478
14-Dec,723430
15-Jan,681479
15-Feb,615778
15-Mar,732609
15-Apr,720031
15-May,741362
15-Jun,751295
15-Jul,790450
15-Aug,780489
15-Sep,713045
15-Oct,740782
15-Nov,696984
15-Dec,718027
16-Jan,684052
16-Feb,659491
16-Mar,750667
16-Apr,725314
16-May,753203
16-Jun,768643
16-Jul,785525
16-Aug,790852
16-Sep,728569
16-Oct,741204
16-Nov,711139
16-Dec,722261
17-Jan,693091
17-Feb,639312
17-Mar,752346
17-Apr,724057
17-May,761704
17-Jun,776971
17-Jul,794738
17-Aug,797147
17-Sep,709060
17-Oct,748681
17-Nov,713941
17-Dec,729669
18-Jan,706221
18-Feb,649948
18-Mar,755916
18-Apr,747778
18-May,784190
18-Jun,793233
18-Jul,820109
18-Aug,822086
18-Sep,743513
18-Oct,781360
18-Nov,737013
18-Dec,752401
19-Jan,724910
19-Feb,660046
19-Mar,787462
19-Apr,765831
19-May,801733
19-Jun,801670
19-Jul,833781
19-Aug,836358
19-Sep,763464
19-Oct,804873
19-Nov,753696
19-Dec,788547
20-Jan,760193
20-Feb,715895
20-Mar,671042
20-Apr,269086
20-May,307355
20-Jun,331887
20-Jul,475292
20-Aug,504694
20-Sep,442671
20-Oct,474985
20-Nov,479915
20-Dec,502340
21-Jan,469793
21-Feb,415361
21-Mar,565374
21-Apr,580782
21-May,632480
21-Jun,688394
21-Jul,735829
21-Aug,732557
21-Sep,677133
21-Oct,699714
21-Nov,684048
21-Dec,684629
22-Jan,631020
22-Feb,590933
22-Mar,699692
22-Apr,681426
22-May,709413
22-Jun,709837
22-Jul,736878
22-Aug,731372
22-Sep,690764
22-Oct,706553
22-Nov,671042
22-Dec,670149
23-Jan,665555
23-Feb,624319
23-Mar,722302
23-Apr,695671
23-May,732005
23-Jun,729397
23-Jul,749907
23-Aug,765449
23-Sep,714215
23-Oct,748118
23-Nov,709035
23-Dec,717949
24-Jan,662942
24-Feb,652637
24-Mar,735592
24-Apr,726763
24-May,764422
24-Jun,768829
24-Jul,794328
24-Aug,784251
24-Sep,736895
24-Oct,769810
24-Nov,722680
24-Dec,742477
25-Jan,680523
25-Feb,645183